,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
462859,11063418,08/19/2017 12:00:00 PM,010XX S MONITOR AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,15.0,29.0,25.0,2017.0,02/10/2018 03:50:01 PM,"(41.868225857, -87.770543221)",61.0,7.0
178414,11442604,09/10/2018 11:14:00 PM,022XX N AVERS AVE,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,False,25.0,30.0,22.0,2018.0,09/17/2018 04:03:31 PM,"(41.9213641, -87.723014012)",74.0,12.0
550454,10929706,04/30/2017 01:37:00 AM,076XX S LUELLA AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,4.0,7.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.756641226, -87.569989405)",420.0,37.0
184999,11433613,09/02/2018 03:00:00 AM,030XX W WALNUT ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,12.0,2.0,27.0,2018.0,09/09/2018 03:57:45 PM,"(41.885443127, -87.702397623)",50.0,46.0
510250,10990593,06/21/2017 11:30:00 AM,010XX N SPAULDING AVE,BATTERY,SIMPLE,SIDEWALK,False,11.0,26.0,23.0,2017.0,02/10/2018 03:50:01 PM,"(41.899926832, -87.709355418)",150.0,49.0
270396,11320479,05/20/2018 12:56:00 AM,127XX S WALLACE ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,5.0,9.0,53.0,2018.0,05/27/2018 03:50:44 PM,"(41.662635074, -87.636605731)",7.0,43.0
211094,11399093,08/01/2018 09:20:00 AM,082XX S SAGINAW AVE,ASSAULT,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),False,4.0,7.0,46.0,2018.0,08/08/2018 04:16:44 PM,"(41.745589433, -87.560065205)",244.0,37.0
225634,11381163,07/14/2018 01:30:00 AM,006XX N FRANKLIN ST,THEFT,OVER $500,STREET,False,18.0,42.0,8.0,2018.0,07/21/2018 03:49:07 PM,"(41.893676531, -87.635628328)",652.0,36.0
72475,11591921,02/10/2019 08:45:00 PM,061XX S ROCKWELL ST,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,True,8.0,16.0,66.0,2019.0,02/17/2019 04:05:09 PM,"(41.782231422, -87.688605128)",111.0,2.0
249390,11348360,06/15/2018 04:30:00 AM,074XX S COLES AVE,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,3.0,7.0,43.0,2018.0,06/22/2018 03:53:00 PM,"(41.761269577, -87.559950282)",421.0,37.0
202012,11411053,08/12/2018 02:00:00 AM,031XX S RACINE AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,9.0,11.0,60.0,2018.0,08/19/2018 04:03:34 PM,"(41.836753677, -87.655989451)",676.0,48.0
468546,11052617,08/12/2017 08:30:00 AM,022XX E 70TH PL,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,3.0,5.0,43.0,2017.0,02/10/2018 03:50:01 PM,"(41.767114613, -87.570990609)",142.0,33.0
534254,10953379,05/21/2017 09:00:00 PM,051XX W AINSLIE ST,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,False,16.0,45.0,11.0,2017.0,02/10/2018 03:50:01 PM,"(41.969749787, -87.756379291)",129.0,50.0
719958,10673758,09/04/2016 02:00:00 AM,0000X W TERMINAL ST,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,True,16.0,41.0,76.0,2016.0,02/10/2018 03:50:01 PM,"(41.976762981, -87.900983721)",668.0,29.0
389436,11160136,11/26/2017 04:50:00 PM,055XX W HOMER ST,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,25.0,29.0,25.0,2017.0,02/10/2018 03:50:01 PM,"(41.915055232, -87.76417995)",596.0,45.0
328627,11242099,02/27/2018 10:00:00 AM,016XX W TOUHY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,24.0,49.0,1.0,2018.0,05/04/2018 03:51:04 PM,"(42.012695288, -87.671247564)",489.0,5.0
165049,11460834,09/28/2018 02:00:00 PM,010XX W ADDISON ST,THEFT,POCKET-PICKING,PARK PROPERTY,False,19.0,44.0,6.0,2018.0,10/05/2018 03:59:12 PM,"(41.947225886, -87.655545441)",691.0,25.0
343839,11221085,02/02/2018 09:20:00 AM,007XX S KEDZIE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,11.0,24.0,27.0,2018.0,05/04/2018 03:51:04 PM,"(41.872341909, -87.705871356)",36.0,14.0
471197,11081042,08/08/2017 09:00:00 PM,100XX W OHARE ST,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,True,16.0,41.0,76.0,2017.0,02/10/2018 03:50:01 PM,"(41.976290414, -87.905227221)",668.0,29.0
112333,11532327,12/11/2018 04:30:00 PM,082XX S BISHOP ST,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,ALLEY,True,6.0,21.0,71.0,2018.0,12/18/2018 04:20:29 PM,"(41.743952336, -87.659633335)",575.0,13.0
11730,11685471,05/13/2019 09:00:00 AM,028XX W 19TH ST,BATTERY,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,False,10.0,12.0,30.0,2019.0,05/20/2019 04:18:59 PM,"(41.855524939, -87.6978538)",203.0,1.0
342383,11224575,02/04/2018 04:30:00 PM,008XX N ORLEANS ST,CRIMINAL DAMAGE,TO VEHICLE,COMMERCIAL / BUSINESS OFFICE,False,18.0,27.0,8.0,2018.0,05/04/2018 03:51:04 PM,"(41.897135527, -87.637192135)",652.0,46.0
374437,11179945,12/17/2017 02:00:00 AM,004XX N ASHLAND AVE,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,BAR OR TAVERN,False,12.0,27.0,24.0,2017.0,05/04/2018 03:51:04 PM,"(41.889110329, -87.667086139)",520.0,46.0
577760,10887775,03/23/2017 08:00:00 AM,033XX S KEDZIE AVE,NARCOTICS,FOUND SUSPECT NARCOTICS,OTHER,True,10.0,22.0,30.0,2017.0,02/10/2018 03:50:01 PM,"(41.832571089, -87.704685773)",200.0,28.0
15140,11680449,05/08/2019 12:32:00 PM,017XX W NORTH AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,14.0,32.0,24.0,2019.0,05/15/2019 04:22:34 PM,"(41.910573047, -87.671841045)",437.0,40.0
171414,11453294,09/20/2018 09:00:00 AM,066XX S PEORIA ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,7.0,6.0,68.0,2018.0,10/25/2018 04:10:05 PM,"(41.773579459, -87.647053265)",436.0,32.0
529846,10960367,05/27/2017 04:30:00 PM,002XX W 111TH PL,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,5.0,34.0,49.0,2017.0,02/10/2018 03:50:01 PM,"(41.6916126, -87.62851276)",660.0,22.0
423822,11113784,10/09/2017 08:33:00 PM,059XX S ROCKWELL ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,8.0,16.0,66.0,2017.0,02/10/2018 03:50:01 PM,"(41.78564034, -87.688695643)",111.0,2.0
